id,personnel_id,record_date,duty_hours,deployment_days,leave_days,training_load
1,1,2026-08-01,13.0,15.0,2,4.0
2,2,2026-08-01,7.0,21.0,2,4.0
3,3,2026-08-01,13.0,5.0,5,8.0
4,4,2026-08-01,8.0,16.0,5,2.0
5,5,2026-08-01,9.0,16.0,6,7.0
6,6,2026-08-01,8.0,25.0,6,5.0
7,7,2026-08-01,12.0,18.0,0,5.0
8,8,2026-08-01,6.0,8.0,0,4.0
9,9,2026-08-01,14.0,20.0,5,8.0
10,10,2026-08-01,8.0,16.0,5,5.0
11,11,2026-08-01,10.0,8.0,0,11.0
12,12,2026-08-01,10.0,23.0,5,5.0
13,13,2026-08-01,14.0,11.0,2,7.0
14,14,2026-08-01,16.0,26.0,2,5.0
15,15,2026-08-01,10.0,8.0,5,0.0
16,16,2026-08-01,13.0,20.0,0,4.0
17,17,2026-08-01,9.0,8.0,3,6.0
18,18,2026-08-01,7.0,26.0,5,6.0
19,19,2026-08-01,8.0,4.0,5,9.0
20,20,2026-08-01,7.0,12.0,3,5.0
21,1,2026-08-02,11.0,13.0,2,4.0
22,2,2026-08-02,9.0,19.0,2,6.0
23,3,2026-08-02,12.0,8.0,5,8.0
24,4,2026-08-02,9.0,15.0,5,3.0
25,5,2026-08-02,13.0,17.0,6,6.0
26,6,2026-08-02,11.0,24.0,6,5.0
27,7,2026-08-02,14.0,18.0,0,4.0
28,8,2026-08-02,4.0,8.0,0,3.0
29,9,2026-08-02,13.0,19.0,5,7.0
30,10,2026-08-02,8.0,16.0,5,5.0
31,11,2026-08-02,8.0,7.0,0,11.0
32,12,2026-08-02,7.0,22.0,5,4.0
33,13,2026-08-02,15.0,12.0,2,7.0
34,14,2026-08-02,14.0,25.0,2,5.0
35,15,2026-08-02,7.0,7.0,5,1.0
36,16,2026-08-02,13.0,21.0,0,6.0
37,17,2026-08-02,8.0,10.0,3,7.0
38,18,2026-08-02,9.0,25.0,5,8.0
39,19,2026-08-02,10.0,5.0,5,9.0
40,20,2026-08-02,11.0,11.0,3,5.0
41,1,2026-08-03,12.0,15.0,2,5.0
42,2,2026-08-03,9.0,18.0,2,5.0
43,3,2026-08-03,9.0,7.0,5,9.0
44,4,2026-08-03,5.0,16.0,5,3.0
45,5,2026-08-03,15.0,15.0,6,10.0
46,6,2026-08-03,8.0,24.0,6,6.0
47,7,2026-08-03,10.0,17.0,0,3.0
48,8,2026-08-03,9.0,8.0,0,4.0
49,9,2026-08-03,18.0,19.0,5,7.0
50,10,2026-08-03,7.0,16.0,5,5.0
